,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceExpress,Production Days Express,Express Sku
2093,2000,0.2,A3,170gsm Art Paper Silk Finish,None,Single Sided,,198.55,1,FLY-464-561-425-544-EXPRESS
2094,2000,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Single Sided,,31.77,1,FLY-657-602-552-650-EXPRESS
2097,2000,0.0,A4,350gsm Art Board Silk Finish,None,Double Sided,,261.25,1,FLY-475-700-701-515-EXPRESS
2099,2000,0.0,1/3 A4 (DL),350gsm Recycled Uncoated,None,Double Sided,,73.15,1,FLY-620-571-561-469-EXPRESS
2100,2000,0.0,Square 148mm x 148mm,170gsm Art Paper Silk Finish,None,Single Sided,,74.46,1,FLY-528-569-603-472-EXPRESS
2104,2000,0.0,A4,170gsm Art Paper Gloss Finish,None,Double Sided,,146.3,1,FLY-507-621-528-659-EXPRESS
2109,2000,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Single Sided,,138.98,1,FLY-470-519-612-518-EXPRESS
2110,2000,0.0,Square 105mm x 105mm,350gsm Recycled Uncoated,None,Double Sided,,60.61,1,FLY-610-557-699-506-EXPRESS
2111,2000,0.0,A7,130gsm Art Paper Gloss Finish,None,Single Sided,,19.86,1,FLY-662-658-660-553-EXPRESS
2112,2000,0.2,Square 105mm x 105mm,120gsm Premium Smooth White Paper,None,Single Sided,,30.78,2,FLY-663-694-473-564-EXPRESS
2113,2000,0.0,A4,300gsm Art Board Coated,None,Single Sided,,193.59,1,FLY-550-608-599-516-EXPRESS
2114,2000,0.0,Square 105mm x 105mm,170gsm Art Paper Silk Finish,None,Double Sided,,36.58,1,FLY-570-470-600-606-EXPRESS
2115,2000,0.0,1/3 A4 (DL),170gsm Art Paper Gloss Finish,None,Double Sided,,43.89,1,FLY-604-645-568-602-EXPRESS
2116,2000,0.0,A5,130gsm Art Paper Silk Finish,None,Double Sided,,49.12,1,FLY-548-601-610-618-EXPRESS
2117,2000,0.2,1/3 A4 (DL),120gsm Premium Smooth White Paper,None,Single Sided,,37.73,2,FLY-554-615-567-604-EXPRESS
2120,2000,0.0,Square 210mm x 210mm,300gsm Art Board Coated,None,Single Sided,,193.59,1,FLY-508-612-611-702-EXPRESS
2122,2000,0.2,1/3 A4 (DL),100gsm Premium Smooth White Paper,None,Single Sided,,30.18,2,FLY-569-513-607-564-EXPRESS
2124,2000,0.0,A5,350gsm Recycled Uncoated,None,Double Sided,,104.5,1,FLY-558-611-509-468-EXPRESS
2126,2000,0.0,A6,170gsm Art Paper Gloss Finish,None,Double Sided,,36.58,1,FLY-466-563-520-505-EXPRESS
2127,2000,0.0,A5,170gsm Art Paper Gloss Finish,None,Double Sided,,78.38,1,FLY-481-569-514-568-EXPRESS
2128,2000,0.2,A7,450gsm Art Board Silk Finish,None,Single Sided,,50.63,1,FLY-608-704-510-564-EXPRESS
2131,2000,0.2,A6,100gsm Premium Smooth White Paper,None,Single Sided,,24.62,2,FLY-512-546-656-611-EXPRESS
2132,2000,0.0,A5,130gsm Art Paper Gloss Finish,None,Single Sided,,46.66,1,FLY-515-610-523-493-EXPRESS
2134,2000,0.2,A3,130gsm Art Paper Gloss Finish,None,Single Sided,,124.09,1,FLY-702-614-473-603-EXPRESS
2135,2000,0.2,A6,120gsm Premium Smooth White Paper,None,Double Sided,,32.4,2,FLY-556-604-569-542-EXPRESS
2136,2000,0.2,A5,100gsm Premium Smooth White Paper,None,Single Sided,,39.71,2,FLY-498-661-556-469-EXPRESS
2137,2000,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Single Sided,,99.28,1,FLY-608-603-467-564-EXPRESS
2139,2000,0.0,A6,170gsm Art Paper Silk Finish,None,Double Sided,,36.58,1,FLY-510-649-513-464-EXPRESS
2145,2000,0.0,A7,130gsm Art Paper Gloss Finish,None,Double Sided,,20.9,1,FLY-661-510-586-608-EXPRESS
2146,2000,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Single Sided,,41.69,1,FLY-645-577-696-648-EXPRESS
