,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceStandard,Production Days Standard,Standard Sku
170,50,0.0,A3,350gsm Recycled Uncoated,None,Double Sided,,47.28,3,FLY-513-549-508-562-STANDARD
171,50,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Double Sided,,15.2,3,FLY-427-575-563-517-STANDARD
172,50,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Single Sided,,14.44,3,FLY-512-620-573-470-STANDARD
173,50,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Single Sided,,15.88,4,FLY-520-556-554-566-STANDARD
176,50,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Double Sided,,18.05,3,FLY-608-511-549-465-STANDARD
177,50,0.2,A4,120gsm Premium Smooth White Paper,None,Double Sided,,23.75,4,FLY-535-606-521-515-STANDARD
178,50,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Single Sided,,17.15,3,FLY-470-519-612-518-STANDARD
179,50,0.0,A6,170gsm Art Paper Gloss Finish,None,Single Sided,,14.9,3,FLY-474-708-604-652-STANDARD
181,50,0.0,A5,300gsm Art Board Coated,None,Double Sided,,17.1,3,FLY-565-564-512-569-STANDARD
182,50,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Single Sided,,17.15,3,FLY-610-562-605-516-STANDARD
183,50,0.2,A7,120gsm Premium Smooth White Paper,None,Double Sided,,17.58,4,FLY-511-520-552-520-STANDARD
184,50,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Double Sided,,28.5,3,FLY-652-540-557-656-STANDARD
185,50,0.0,1/3 A4 (DL),130gsm Art Paper Silk Finish,None,Single Sided,,15.34,3,FLY-453-522-524-458-STANDARD
186,50,0.2,A3,170gsm Art Paper Gloss Finish,None,Double Sided,,21.85,3,FLY-419-553-522-705-STANDARD
187,50,0.0,A5,350gsm Recycled Uncoated,None,Double Sided,,24.7,3,FLY-558-611-509-468-STANDARD
188,50,0.0,A3,350gsm Art Board Silk Finish,None,Single Sided,,25.27,3,FLY-514-561-525-612-STANDARD
189,50,0.2,1/3 A4 (DL),100gsm Premium Smooth White Paper,None,Single Sided,,14.44,4,FLY-569-513-607-564-STANDARD
191,50,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Double Sided,,15.68,3,FLY-405-508-523-603-STANDARD
192,50,0.2,Square 105mm x 105mm,100gsm Premium Smooth White Paper,None,Single Sided,,14.44,4,FLY-704-461-567-565-STANDARD
194,50,0.0,A4,350gsm Art Board Silk Finish,None,Single Sided,,19.85,3,FLY-601-547-654-469-STANDARD
195,50,0.2,A7,100gsm Premium Smooth White Paper,None,Single Sided,,13.36,4,FLY-665-709-560-606-STANDARD
196,50,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Single Sided,,22.56,4,FLY-601-607-609-608-STANDARD
197,50,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Single Sided,,15.8,3,FLY-645-577-696-648-STANDARD
200,50,0.0,1/3 A4 (DL),350gsm Art Board Silk Finish,None,Double Sided,,18.05,3,FLY-565-515-598-512-STANDARD
201,50,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Double Sided,,17.1,3,FLY-615-560-513-413-STANDARD
202,50,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Double Sided,,16.72,4,FLY-512-552-606-524-STANDARD
203,50,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Single Sided,,14.9,3,FLY-561-556-555-699-STANDARD
204,50,0.0,A7,130gsm Art Paper Gloss Finish,None,Single Sided,,13.31,3,FLY-662-658-660-553-STANDARD
205,50,0.0,A5,130gsm Art Paper Silk Finish,None,Double Sided,,15.68,3,FLY-548-601-610-618-STANDARD
206,50,0.0,A4,170gsm Art Paper Gloss Finish,None,Double Sided,,18.05,3,FLY-507-621-528-659-STANDARD
207,50,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Double Sided,,23.75,4,FLY-516-600-653-599-STANDARD
208,50,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Single Sided,,14.9,3,FLY-614-656-453-557-STANDARD
209,50,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Single Sided,,23.46,3,FLY-608-603-467-564-STANDARD
210,50,0.0,A6,300gsm Art Board Coated,None,Double Sided,,17.1,3,FLY-616-510-520-657-STANDARD
211,50,0.0,A4,350gsm Recycled Uncoated,None,Double Sided,,28.5,3,FLY-651-559-558-560-STANDARD
212,50,0.2,A5,100gsm Premium Smooth White Paper,None,Double Sided,,16.72,4,FLY-605-653-555-522-STANDARD
213,50,0.2,A4,120gsm Premium Smooth White Paper,None,Single Sided,,22.56,4,FLY-606-563-558-465-STANDARD
214,50,0.2,A3,170gsm Art Paper Silk Finish,None,Double Sided,,21.85,3,FLY-459-460-602-517-STANDARD
215,50,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Single Sided,,16.24,3,FLY-698-715-508-600-STANDARD
216,50,0.0,A7,170gsm Art Paper Gloss Finish,None,Double Sided,,14.72,3,FLY-510-660-562-561-STANDARD
217,50,0.0,Square 210mm x 210mm,350gsm Art Board Silk Finish,None,Double Sided,,20.9,3,FLY-559-497-514-462-STANDARD
218,50,0.2,A3,120gsm Premium Smooth White Paper,None,Single Sided,,29.78,4,FLY-689-461-464-565-STANDARD
219,50,0.0,Square 105mm x 105mm,350gsm Art Board Silk Finish,None,Double Sided,,16.15,3,FLY-509-515-644-514-STANDARD
220,50,0.2,A3,300gsm Art Board Coated,None,Single Sided,,25.27,3,FLY-699-516-565-577-STANDARD
221,50,0.0,A3,350gsm Art Board Silk Finish,None,Double Sided,,26.6,3,FLY-600-652-559-418-STANDARD
222,50,0.0,Square 105mm x 105mm,350gsm Art Board Silk Finish,None,Single Sided,,15.34,3,FLY-543-472-525-562-STANDARD
223,50,0.0,A7,170gsm Art Paper Gloss Finish,None,Single Sided,,13.99,3,FLY-619-694-464-473-STANDARD
