SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-5f2c974cbf,Whiteboards,20,A3,A3,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,43.53,None
R1-61b898fe35,Whiteboards,3,A3,A3,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,23.86,None
R1-635ba52201,Whiteboards,2,A1,A1,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,25.16,None
R1-670bd8dd49,Whiteboards,3,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,51.49,None
R1-67e9a75fac,Whiteboards,25,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,243.21,None
R1-684af2dcc5,Whiteboards,10,A1,A1,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,65.65,None
R1-6949c1a178,Whiteboards,2,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,46.29,None
R1-696d7efa16,Whiteboards,6,A1,A1,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,42.48,None
R1-6adcf9bfda,Whiteboards,1,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,33.26,None
R1-6ae2be7a51,Whiteboards,20,A2,A2,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,65.55,None
R1-6bcabfd1df,Whiteboards,40,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,390.46,None
R1-6ccf6843a2,Whiteboards,40,A1,A1,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,170.23,None
R1-6ced317565,Whiteboards,40,A2,A2,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,117.24,None
R1-6e1e49f8a9,Whiteboards,5,A1,A1,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,37.55,None
R1-6ef9942da7,Whiteboards,50,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,45.78,None
R1-6fdcc48a32,Whiteboards,4,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,25.95,None
R1-7044eb8270,Whiteboards,4,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,61.43,None
R1-70e0202974,Whiteboards,20,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,34.13,None
R1-716d9afcde,Whiteboards,50,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,41.62,None
R1-72ede2dd63,Whiteboards,2,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,23.52,None
R1-736fc1d70b,Whiteboards,10,A3,A3,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,35.68,None
R1-73793cde1b,Whiteboards,9,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,128.66,None
R1-73997c8407,Whiteboards,25,A3,A3,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,44.45,None
R1-74395053a6,Whiteboards,30,A3,A3,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,49.30,None
R1-74c15a583b,Whiteboards,8,A1,A1,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,51.05,None
R1-766a7002d1,Whiteboards,45,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,447.78,None
R1-7727d37818,Whiteboards,10,A2,A2,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,49.14,None
