SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-019d83776a,Foam Signs,30,A0,A0,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,3 Sets,20,2100.49,None
R1-01aa8085dd,Foam Signs,45,A1,A1,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,6 Sets,20,1837.19,None
R1-01ae057ac8,Foam Signs,3,A0,A0,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,11 Sets,20,1025.65,None
R1-01af491d56,Foam Signs,5,A3,A3,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,3 Sets,20,90.34,None
R1-01bd63967b,Foam Signs,4,A1,A1,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,13 Sets,20,670.11,None
R1-01becd9945,Foam Signs,1,A2,A2,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,6 Sets,20,169.1,None
R1-01c4ede364,Foam Signs,20,A2,A2,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,6 Sets,20,586.91,None
R1-01cac3b6db,Foam Signs,10,A3,A3,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,2 Sets,20,95.68,None
R1-01d25d81f9,Foam Signs,20,A2,A2,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,1 Set,20,94.47,None
R1-01d598041f,Foam Signs,4,A1,A1,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,1 Set,20,47.35,None
R1-01d845bf6e,Foam Signs,25,A2,A2,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,15 Sets,20,2315.77,None
R1-01da9de43a,Foam Signs,45,A3,A3,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,12 Sets,20,2072.63,None
R1-01db768903,Foam Signs,6,A2,A2,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,1 Set,20,51.59,None
R1-01dc2dc3f1,Foam Signs,9,A0,A0,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,2 Sets,20,336.79,None
R1-01dc7fc25f,Foam Signs,7,A3,A3,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,7 Sets,20,243.88,None
R1-01e22f878c,Foam Signs,45,A1,A1,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,11 Sets,20,4284.62,None
R1-01f248b22f,Foam Signs,30,A2,A2,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,2 Sets,20,338.08,None
R1-01f2eef144,Foam Signs,6,A2,A2,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,7 Sets,20,343.23,None
R1-01f2f845dd,Foam Signs,35,A2,A2,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,13 Sets,20,1967.88,None
R1-01f5428625,Foam Signs,6,A3,A3,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,3 Sets,20,112.43,None
R1-01f5a5989c,Foam Signs,2,A0,A0,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,1 Set,20,53.82,None
R1-01f5fb240e,Foam Signs,15,A2,A2,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,9 Sets,20,685.21,None
R1-01f953f5be,Foam Signs,8,A3,A3,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,11 Sets,20,404,None
R1-01f983d5b0,Foam Signs,1,A0,A0,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,10 Sets,20,364.25,None
R1-01f9dff2ab,Foam Signs,9,A0,A0,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,13 Sets,20,2984.5,None
R1-01fa086de4,Foam Signs,25,A3,A3,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,8 Sets,20,567.46,None
R1-01fa6e60b2,Foam Signs,20,A3,A3,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,13 Sets,20,1257.99,None
R1-01ff3ee979,Foam Signs,30,A0,A0,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,8 Sets,20,4060.22,None
R1-02016d842c,Foam Signs,6,A1,A1,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,6 Sets,20,433.76,None
R1-0203a4bef7,Foam Signs,15,A2,A2,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,7 Sets,20,559.89,None
R1-020485a379,Foam Signs,50,A0,A0,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,5 Sets,20,4945.15,None
R1-020699644b,Foam Signs,45,A2,A2,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,5 Sets,20,926.77,None
R1-020d53ecf5,Foam Signs,45,A2,A2,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,15 Sets,20,3477.14,None
R1-020d9b1a7c,Foam Signs,10,A0,A0,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,15 Sets,20,3710.26,None
R1-0211dc83d4,Foam Signs,20,A1,A1,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,1 Set,20,148.36,None
R1-0220558aef,Foam Signs,7,A3,A3,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,10 Sets,20,407.62,None
R1-02294651dd,Foam Signs,40,A2,A2,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,2 Sets,20,365.87,None
R1-022bff8475,Foam Signs,40,A1,A1,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,10 Sets,20,3033.47,None
R1-022e48e8ff,Foam Signs,30,A0,A0,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,1 Set,20,712.03,None
R1-023a995ccf,Foam Signs,2,A0,A0,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,6 Sets,20,410.55,None
